dates,s1,s2,s3,s4,s5,s6
1984-10-15,-1.225558519363403,-0.0314090512692928,-1.865376710891724,-1.7402831315994265,-3.0759148597717285,-3.1750600337982178
1991-02-24,0.463118702173233,0.437376320362091,0.6821157336235046,0.5976487994194031,1.455104112625122,-1.361523985862732
1987-10-08,-1.7296242713928225,-0.3030008673667907,0.005556562449783,-1.8861610889434812,-1.999680757522583,-0.9599088430404664
2001-10-14,-0.3786661326885223,-0.4425941407680511,0.4678409695625305,-0.9472336173057556,-0.0033192648552358,-0.655562698841095
2002-06-14,0.2208326756954193,-1.171699285507202,-1.9255194664001465,-2.042440176010132,-1.9862905740737915,-2.6525917053222656
1982-06-28,-1.110480546951294,-0.774682879447937,-2.4834988117218018,0.0263059269636869,0.1171954646706581,-1.494438648223877
1983-11-28,-0.3351159393787384,-0.7037553787231445,-0.6763215661048889,-0.8074279427528381,-1.274614334106445,-1.3380264043807983
1982-05-09,0.12794229388237,-0.6704176664352417,-0.5018159747123718,-0.7200303673744202,-1.854490876197815,2.9307358264923096
1999-09-12,2.8863704204559326,0.4395621418952942,3.7119293212890634,-0.0520683787763118,2.917065143585205,1.7655375003814695
1996-11-04,-2.05840277671814,0.5111696720123291,-1.8117773532867432,-1.400487184524536,-1.793848991394043,-1.70857572555542
2006-05-27,-0.2441579550504684,0.0795010104775428,-0.0007957526831887,0.0334693454205989,-0.2073142379522323,1.4527405500411987
2004-03-28,-2.28277325630188,-2.498361587524414,1.1303118467330933,0.8398429751396179,-0.616499662399292,1.1389766931533811
1996-12-28,0.3576085567474365,-1.2291936874389648,1.093245506286621,0.3920094668865204,1.5339454412460327,0.3444789946079254
1984-02-01,1.2975308895111084,0.3754007220268249,0.8671140670776367,0.2219439893960952,1.191339135169983,1.2018953561782837
2006-03-30,0.1584606915712356,-1.157232642173767,0.6777230501174927,0.2821635603904724,0.1978015005588531,0.1102163568139076
2003-07-24,0.0149984648451209,3.325183868408203,2.236197233200073,2.8952081203460693,4.207833290100098,2.300825595855713
1992-12-26,0.0640194118022918,-0.0031975083984434,-0.30282062292099,0.1722004562616348,-0.1822193562984466,-1.2114319801330566
2004-02-17,1.2304120063781738,-2.135033130645752,1.9115711450576784,0.973902463912964,1.540306806564331,-0.2887282073497772
1993-09-10,-0.969485342502594,2.6698124408721924,-0.3286837935447693,0.198149561882019,0.2862639427185058,-2.282503128051758
2001-01-17,1.5625858306884766,-0.1543261706829071,0.7246319651603699,0.789635956287384,2.1379482746124268,-0.8877769112586975
1988-01-21,-0.127416580915451,-0.7743212580680847,0.2246319651603698,0.529626190662384,0.927926242351532,0.4122413694858551
1991-11-29,-0.9409132599830629,0.6823193430900574,-0.6969136595726013,-1.1809848546981812,-0.6616073846817017,0.6285496354103088
